#node1	node2	node1_accession	node2_accession	onset_condition	terminus_condition	onset	terminus	type	confidence_score_G1	confidence_score_S	confidence_score_G2	confidence_score_M	cluster	abundance_G1	abundance_S	abundance_G2	abundance_M
CCNA2	CDK2	P20248	P24941	 S	 M	2	4	Provided	0	0.403018147	0.395750716	0	1	0	14.1	13.8	0
CUL1	CDK2	Q13616	P24941			Inf	Inf	STRING	0.402	0.402	0.402	0.402					
ACTG1	CDK2	P63261	P24941			Inf	Inf	STRING	0.118	0.118	0.118	0.118					
WEE1	CDK2	P30291	P24941			Inf	Inf	STRING	0.576	0.576	0.576	0.576					
MAD2L1	CDK2	Q13257	P24941			Inf	Inf	STRING	0.175	0.175	0.175	0.175					
PSMC6	CDK2	P62333	P24941			Inf	Inf	STRING	0.206	0.206	0.206	0.206					
HIST1H2BB	CDK2	Q16778	P24941			Inf	Inf	STRING	0.074	0.074	0.074	0.074					
CKS2	CDK2	P33552	P24941			Inf	Inf	STRING	0.808	0.808	0.808	0.808					
YWHAG	CDK2	P61981	P24941			Inf	Inf	STRING	0.119	0.119	0.119	0.119					
HDAC1	CDK2	Q13547	P24941			Inf	Inf	STRING	0.149	0.149	0.149	0.149					
XRCC6	CDK2	P12956	P24941			Inf	Inf	STRING	0.498	0.498	0.498	0.498					
CCNA2	CDK2	P20248	P24941			Inf	Inf	Both	0.998	0.998	0.998	0.998					
CCNB1	CDK2	P14635	P24941	 G2		3	5	Provided	0	0	0.638882521	0.580506208	2	0	0	22.3	20.3
PSMB6	CDK2	P28072	P24941			Inf	Inf	STRING	0.066	0.066	0.066	0.066					
CCNE1	CDK2	P24864-1	P24941	G1	 G2	1	3	Provided	0.741067335	0.757213467	0	0	2	25.9	26.4	0	0
CDK5	CDK2	Q00535	P24941			Inf	Inf	STRING	0.064	0.064	0.064	0.064					
CDT1	CDK2	Q9H211	P24941			Inf	Inf	STRING	0.474	0.474	0.474	0.474					
XRCC5	CDK2	P13010	P24941			Inf	Inf	STRING	0.182	0.182	0.182	0.182					
PLK1	CDK2	P53350	P24941			Inf	Inf	STRING	0.267	0.267	0.267	0.267					
XPO1	CDK2	O14980	P24941			Inf	Inf	STRING	0.053	0.053	0.053	0.053					
CKS1B	CDK2	P61024	P24941			Inf	Inf	STRING	0.988	0.988	0.988	0.988					
EIF2S1	RPS12	P05198	P25398			Inf	Inf	STRING	0.809	0.809	0.809	0.809					
RPL8	RPS12	P62917	P25398			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPL21	RPS12	P46778	P25398			Inf	Inf	STRING	0.994	0.994	0.994	0.994					
RPL27	RPS12	P61353	P25398			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS28	RPS12	P62857	P25398			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL13	RPS12	P26373	P25398			Inf	Inf	STRING	0.994	0.994	0.994	0.994					
SRP9	RPS12	P49458	P25398			Inf	Inf	STRING	0.94	0.94	0.94	0.94					
RPL3	RPS12	P39023	P25398			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPL23A	RPS12	A8MUS3	P25398			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL5	RPS12	P46777	P25398			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS17	RPS12	P08708	P25398			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPL13A	RPS12	P40429	P25398			Inf	Inf	STRING	0.994	0.994	0.994	0.994					
RPLP0	RPS12	P05388	P25398			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS8	RPS12	P62241	P25398			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL18	RPS12	Q07020	P25398			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL14	RPS12	P50914	P25398			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
DDX3X	RPS12	O00571	P25398			Inf	Inf	STRING	0.262	0.262	0.262	0.262					
RPL35A	RPS12	P18077	P25398			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
EIF3A	RPS12	Q14152	P25398			Inf	Inf	STRING	0.76	0.76	0.76	0.76					
RPS19	RPS12	P39019	P25398			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPS21	RPS12	P63220	P25398			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS11	RPS12	P62280	P25398			Inf	Inf	STRING	0.998	0.998	0.998	0.998					
RPL22	RPS12	P35268	P25398			Inf	Inf	STRING	0.994	0.994	0.994	0.994					
SRP14	RPS12	P37108	P25398			Inf	Inf	STRING	0.959	0.959	0.959	0.959					
RPL9	RPS12	P32969	P25398			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL31	RPS12	P62899	P25398			Inf	Inf	STRING	0.974	0.974	0.974	0.974					
RPS20	RPS12	B4DW28	P25398			Inf	Inf	STRING	0.974	0.974	0.974	0.974					
RPS5	RPS12	P46782	P25398			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
EIF4B	RPS12	P23588	P25398			Inf	Inf	STRING	0.732	0.732	0.732	0.732					
PSMC6	RPS12	P62333	P25398			Inf	Inf	STRING	0.14	0.14	0.14	0.14					
RPL10A	RPS12	P62906	P25398			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
CCNB1	RPS12	P14635	P25398	 M		4	5	Provided	0	0	0.028533095	0.093095989	1	0	0	1	3.2
RPSA	RPS12	P08865	P25398			Inf	Inf	STRING	0.994	0.994	0.994	0.994					
RPL27A	RPS12	P46776	P25398			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL4	RPS12	P36578	P25398			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
BAG2	DNAJB1	O95816	P25685			Inf	Inf	STRING	0.512	0.512	0.512	0.512					
CCNB1	DNAJB1	P14635	P25685	 M		4	5	Provided	0	0	0.024695989	0.068280802	1	0	0	0.9	2.4
RPL18	RPL13	Q07020	P26373			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL14	RPL13	P50914	P26373			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
CCNB1	RPL13	P14635	P26373	 M		4	5	Provided	0	0	0.027640688	0.062659026	1	0	0	1	2.2
RPL4	RPL13	P36578	P26373			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPS19	RPL13	P39019	P26373			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS28	RPL13	P62857	P26373			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL27	RPL13	P61353	P26373			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL9	RPL13	P32969	P26373			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL22	RPL13	P35268	P26373			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS21	RPL13	P63220	P26373			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPSA	RPL13	P08865	P26373			Inf	Inf	STRING	0.988	0.988	0.988	0.988					
RPL3	RPL13	P39023	P26373			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPL31	RPL13	P62899	P26373			Inf	Inf	STRING	0.962	0.962	0.962	0.962					
RPL35A	RPL13	P18077	P26373			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL13A	RPL13	P40429	P26373			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL5	RPL13	P46777	P26373			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPLP0	RPL13	P05388	P26373			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS20	RPL13	B4DW28	P26373			Inf	Inf	STRING	0.964	0.964	0.964	0.964					
RPS5	RPL13	P46782	P26373			Inf	Inf	STRING	0.986	0.986	0.986	0.986					
RPL10A	RPL13	P62906	P26373			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL23A	RPL13	A8MUS3	P26373			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
CCNA2	RPL13	P20248	P26373	 S	 M	2	4	Provided	0	0.2252149	0.09615616	0	1	0	7.9	3.4	0
RPL27A	RPL13	P46776	P26373			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL21	RPL13	P46778	P26373			Inf	Inf	STRING	0.994	0.994	0.994	0.994					
RPS8	RPL13	P62241	P26373			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPS17	RPL13	P08708	P26373			Inf	Inf	STRING	0.959	0.959	0.959	0.959					
ACTG1	YWHAQ	P63261	P27348			Inf	Inf	STRING	0.169	0.169	0.169	0.169					
EIF4B	YWHAQ	P23588	P27348			Inf	Inf	STRING	0.438	0.438	0.438	0.438					
CCNA2	YWHAQ	P20248	P27348	 S	 M	2	4	Provided	0	0.097639924	0.390676218	0	2	0	3.4	13.6	0
YWHAZ	YWHAQ	P63104	P27348			Inf	Inf	STRING	0.26	0.26	0.26	0.26					
CCNH	RPA1	P51946	P27694			Inf	Inf	STRING	0.074	0.074	0.074	0.074					
XRCC6	RPA1	P12956	P27694			Inf	Inf	STRING	0.568	0.568	0.568	0.568					
MNAT1	RPA1	P51948	P27694			Inf	Inf	STRING	0.074	0.074	0.074	0.074					
CDK2	RPA1	P24941	P27694			Inf	Inf	STRING	0.352	0.352	0.352	0.352					
HIST1H2BB	RPA1	Q16778	P27694			Inf	Inf	STRING	0.096	0.096	0.096	0.096					
YWHAZ	RPA1	P63104	P27694			Inf	Inf	STRING	0.195	0.195	0.195	0.195					
VCP	RPA1	P55072	P27694			Inf	Inf	STRING	0.085	0.085	0.085	0.085					
XRCC5	RPA1	P13010	P27694			Inf	Inf	STRING	0.161	0.161	0.161	0.161					
DDB1	RPA1	Q16531	P27694			Inf	Inf	STRING	0.074	0.074	0.074	0.074					
CDK7	RPA1	P50613	P27694			Inf	Inf	STRING	0.074	0.074	0.074	0.074					
CCNB1	RPA1	P14635	P27694			Inf	Inf	STRING	0.342	0.342	0.342	0.342					
CCNA2	RPA1	P20248	P27694	 G2	 M	3	4	Provided	0	0.018873209	0.070161891	0	2	0	0.7	2.4	0
CCNA2	RPA1	P20248	P27694			Inf	Inf	Both	0.379	0.379	0.379	0.379					
PPP2R1A	PSMB6	P30153	P28072			Inf	Inf	STRING	0.185	0.185	0.185	0.185					
PLK1	PSMB6	P53350	P28072			Inf	Inf	STRING	0.361	0.361	0.361	0.361					
CCNA2	PSMB6	P20248	P28072	 S	 G2	2	3	Provided	0	0.076048711	0.029790831	0	1	0	2.7	1	0
PSMC6	PSMB6	P62333	P28072			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
CUL1	PSMB6	Q13616	P28072			Inf	Inf	STRING	0.048	0.048	0.048	0.048					
CCNE1	RBL1	P24864-1	P28749-1	G1	 S	1	2	Provided	0.182604585	0.046234957	0	0	1	6.4	1.6	0	0
CCNA2	RBL1	P20248	P28749-1	 S	 M	2	4	Provided	0	0.066229226	0.12787106	0	2	0	2.3	4.5	0
CCNB1	RPL12	P14635	P30050-1	 M		4	5	Provided	0	0	0.02555234	0.076416428	1	0	0	0.9	2.7
CCNA2	RPL12	P20248	P30050-1	 S	 M	2	4	Provided	0	0.110833811	0.107406877	0	1	0	3.9	3.7	0
YWHAQ	PPP2R1A	P27348	P30153			Inf	Inf	STRING	0.075	0.075	0.075	0.075					
YWHAZ	PPP2R1A	P63104	P30153			Inf	Inf	STRING	0.087	0.087	0.087	0.087					
VCP	PPP2R1A	P55072	P30153			Inf	Inf	STRING	0.379	0.379	0.379	0.379					
XPO1	PPP2R1A	O14980	P30153			Inf	Inf	STRING	0.094	0.094	0.094	0.094					
RPSA	PPP2R1A	P08865	P30153			Inf	Inf	STRING	0.371	0.371	0.371	0.371					
PSMC6	PPP2R1A	P62333	P30153			Inf	Inf	STRING	0.05	0.05	0.05	0.05					
RPS19	PPP2R1A	P39019	P30153			Inf	Inf	STRING	0.095	0.095	0.095	0.095					
RPS8	PPP2R1A	P62241	P30153			Inf	Inf	STRING	0.27	0.27	0.27	0.27					
CCNA2	PPP2R1A	P20248	P30153	 S	 M	2	4	Provided	0	0.076016237	0.175088825	0	2	0	2.7	6.1	0
CDC20	PPP2R1A	Q12834	P30153			Inf	Inf	STRING	0.837	0.837	0.837	0.837					
CCNA2	WEE1	P20248	P30291	 S	 M	2	4	Provided	0	0.073031519	0.10521681	0	1	0	2.5	3.7	0
DDX3X	HNRNPH1	O00571	P31943			Inf	Inf	STRING	0.185	0.185	0.185	0.185					
RAB5C	HNRNPH1	P51148	P31943			Inf	Inf	STRING	0.387	0.387	0.387	0.387					
CCNE1	HNRNPH1	P24864-1	P31943	G1	 G2	1	3	Provided	0.161083286	0.161694365	0	0	2	5.6	5.6	0	0
HNRNPF	HNRNPH1	P52597	P31943			Inf	Inf	STRING	0.802	0.802	0.802	0.802					
CCNB1	HNRNPH1	P14635	P31943	 M		4	5	Provided	0	0	0.012475454	0.074008596	1	0	0	0.4	2.6
ILF2	HNRNPH1	Q12905	P31943			Inf	Inf	STRING	0.266	0.266	0.266	0.266					
RPS28	RPL9	P62857	P32969			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPS20	RPL9	B4DW28	P32969			Inf	Inf	STRING	0.964	0.964	0.964	0.964					
RPL35A	RPL9	P18077	P32969			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
RPLP0	RPL9	P05388	P32969			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
RPL18	RPL9	Q07020	P32969			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS5	RPL9	P46782	P32969			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL27	RPL9	P61353	P32969			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
SLIRP	RPL9	Q9GZT3	P32969			Inf	Inf	STRING	0.264	0.264	0.264	0.264					
RPS19	RPL9	P39019	P32969			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
CCNA2	RPL9	P20248	P32969	 S	 M	2	4	Provided	0	0.159	0.074722063	0	1	0	5.5	2.6	0
WEE1	CKS2	P30291	P33552			Inf	Inf	STRING	0.172	0.172	0.172	0.172					
CDKN1A	CKS2	P38936	P33552			Inf	Inf	STRING	0.25	0.25	0.25	0.25					
CCNA2	CKS2	P20248	P33552	 S	 M	2	4	Provided	0	0.40987297	0.557529131	0	1	0	14.3	19.5	0
CCNB1	CKS2	P14635	P33552	 G2		3	5	Provided	0	0	0.221787966	0.194040115	2	0	0	7.7	6.8
CCNH	RPA3	P51946	P35244			Inf	Inf	STRING	0.074	0.074	0.074	0.074					
XRCC6	RPA3	P12956	P35244			Inf	Inf	STRING	0.074	0.074	0.074	0.074					
MSH2	RPA3	P43246	P35244			Inf	Inf	STRING	0.074	0.074	0.074	0.074					
RPA1	RPA3	P27694	P35244			Inf	Inf	STRING	0.998	0.998	0.998	0.998					
CDK7	RPA3	P50613	P35244			Inf	Inf	STRING	0.074	0.074	0.074	0.074					
DDB1	RPA3	Q16531	P35244			Inf	Inf	STRING	0.074	0.074	0.074	0.074					
CCNA2	RPA3	P20248	P35244	 S	 M	2	4	Provided	0	0.064018625	0.133530086	0	2	0	2.2	4.7	0
MNAT1	RPA3	P51948	P35244			Inf	Inf	STRING	0.074	0.074	0.074	0.074					
XRCC5	RPA3	P13010	P35244			Inf	Inf	STRING	0.074	0.074	0.074	0.074					
RPL31	RPL22	P62899	P35268			Inf	Inf	STRING	0.964	0.964	0.964	0.964					
RPS19	RPL22	P39019	P35268			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL35A	RPL22	P18077	P35268			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
CCNA2	RPL22	P20248	P35268	 S	 M	2	4	Provided	0	0.108120344	0.15969341	0	1	0	3.8	5.6	0
CCNE1	RPL22	P24864-1	P35268	G1	 S	1	2	Provided	0.069126074	0.043011461	0	0	1	2.4	1.5	0	0
RPL9	RPL22	P32969	P35268			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL23A	RPL22	A8MUS3	P35268			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL14	RPL22	P50914	P35268			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL18	RPL22	Q07020	P35268			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL13A	RPL22	P40429	P35268			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL5	RPL22	P46777	P35268			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL10A	RPL22	P62906	P35268			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPLP0	RPL22	P05388	P35268			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS8	RPL22	P62241	P35268			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS20	RPL22	B4DW28	P35268			Inf	Inf	STRING	0.961	0.961	0.961	0.961					
RPS28	RPL22	P62857	P35268			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPS5	RPL22	P46782	P35268			Inf	Inf	STRING	0.987	0.987	0.987	0.987					
RPL27	RPL22	P61353	P35268			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL23A	RPL4	A8MUS3	P36578			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL27	RPL4	P61353	P36578			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL21	RPL4	P46778	P36578			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
EIF4B	RPL4	P23588	P36578			Inf	Inf	STRING	0.266	0.266	0.266	0.266					
RPS5	RPL4	P46782	P36578			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
RPL9	RPL4	P32969	P36578			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
RPS21	RPL4	P63220	P36578			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPS28	RPL4	P62857	P36578			Inf	Inf	STRING	0.988	0.988	0.988	0.988					
YWHAZ	RPL4	P63104	P36578			Inf	Inf	STRING	0.157	0.157	0.157	0.157					
NCL	RPL4	P19338	P36578			Inf	Inf	STRING	0.281	0.281	0.281	0.281					
EIF3A	RPL4	Q14152	P36578			Inf	Inf	STRING	0.404	0.404	0.404	0.404					
RPL27A	RPL4	P46776	P36578			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL35A	RPL4	P18077	P36578			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
ILF2	RPL4	Q12905	P36578			Inf	Inf	STRING	0.379	0.379	0.379	0.379					
RPS8	RPL4	P62241	P36578			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL22	RPL4	P35268	P36578			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL3	RPL4	P39023	P36578			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
RPSA	RPL4	P08865	P36578			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPL5	RPL4	P46777	P36578			Inf	Inf	STRING	0.986	0.986	0.986	0.986					
RPS17	RPL4	P08708	P36578			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
DDX3X	RPL4	O00571	P36578			Inf	Inf	STRING	0.185	0.185	0.185	0.185					
RPS20	RPL4	B4DW28	P36578			Inf	Inf	STRING	0.962	0.962	0.962	0.962					
CCNA2	RPL4	P20248	P36578	 S	 M	2	4	Provided	0	0.18015043	0.210651862	0	1	0	6.3	7.4	0
RPL13A	RPL4	P40429	P36578			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPS19	RPL4	P39019	P36578			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL10A	RPL4	P62906	P36578			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL14	RPL4	P50914	P36578			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL31	RPL4	P62899	P36578			Inf	Inf	STRING	0.962	0.962	0.962	0.962					
RPLP0	RPL4	P05388	P36578			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
RPL18	RPL4	Q07020	P36578			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
CCNB1	SRP14	P14635	P37108	 M		4	5	Provided	0	0	0.025131232	0.073418338	1	0	0	0.9	2.6
SRP9	SRP14	P49458	P37108			Inf	Inf	STRING	0.993	0.993	0.993	0.993					
RPL22	SRP14	P35268	P37108			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPL14	SRP14	P50914	P37108			Inf	Inf	STRING	0.683	0.683	0.683	0.683					
RPL4	SRP14	P36578	P37108			Inf	Inf	STRING	0.732	0.732	0.732	0.732					
RPS11	SRP14	P62280	P37108			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPS19	SRP14	P39019	P37108			Inf	Inf	STRING	0.959	0.959	0.959	0.959					
RPSA	SRP14	P08865	P37108			Inf	Inf	STRING	0.948	0.948	0.948	0.948					
RPL27	SRP14	P61353	P37108			Inf	Inf	STRING	0.958	0.958	0.958	0.958					
CCNA2	SRP14	P20248	P37108	 S	 G2	2	3	Provided	0	0.112130372	0.044641261	0	1	0	3.9	1.6	0
RPL9	SRP14	P32969	P37108			Inf	Inf	STRING	0.958	0.958	0.958	0.958					
RPL23A	SRP14	A8MUS3	P37108			Inf	Inf	STRING	0.959	0.959	0.959	0.959					
RPS20	SRP14	B4DW28	P37108			Inf	Inf	STRING	0.809	0.809	0.809	0.809					
RPL31	SRP14	P62899	P37108			Inf	Inf	STRING	0.805	0.805	0.805	0.805					
RPS17	SRP14	P08708	P37108			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPL35A	SRP14	P18077	P37108			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPS28	SRP14	P62857	P37108			Inf	Inf	STRING	0.952	0.952	0.952	0.952					
RPS5	SRP14	P46782	P37108			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPL21	SRP14	P46778	P37108			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPS21	SRP14	P63220	P37108			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPLP0	SRP14	P05388	P37108			Inf	Inf	STRING	0.944	0.944	0.944	0.944					
RPS8	SRP14	P62241	P37108			Inf	Inf	STRING	0.958	0.958	0.958	0.958					
CDK5	CDKN1A	Q00535	P38936			Inf	Inf	STRING	0.354	0.354	0.354	0.354					
CCNE1	CDKN1A	P24864-1	P38936	G1	 G2	1	3	Provided	0.35625	0.074838109	0	0	1	12.4	2.6	0	0
CCNA2	CDKN1A	P20248	P38936	 S	 M	2	4	Provided	0	0.173489016	0.222974212	0	1	0	6.1	7.8	0
RPS5	RPS19	P46782	P39019			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
CCNB1	RPS19	P14635	P39019	 M		4	5	Provided	0	0	0.035931232	0.071468481	1	0	0	1.3	2.5
RPS28	RPS19	P62857	P39019			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPSA	RPL3	P08865	P39023			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPS5	RPL3	P46782	P39023			Inf	Inf	STRING	0.978	0.978	0.978	0.978					
RPS8	RPL3	P62241	P39023			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPL5	RPL3	P46777	P39023			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
RPLP0	RPL3	P05388	P39023			Inf	Inf	STRING	0.986	0.986	0.986	0.986					
RPL23A	RPL3	A8MUS3	P39023			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPS19	RPL3	P39019	P39023			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPS20	RPL3	B4DW28	P39023			Inf	Inf	STRING	0.961	0.961	0.961	0.961					
RPL13A	RPL3	P40429	P39023			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPL21	RPL3	P46778	P39023			Inf	Inf	STRING	0.99	0.99	0.99	0.99					
RPL18	RPL3	Q07020	P39023			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPL10A	RPL3	P62906	P39023			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPS17	RPL3	P08708	P39023			Inf	Inf	STRING	0.956	0.956	0.956	0.956					
RPL35A	RPL3	P18077	P39023			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
CCNA2	RPL3	P20248	P39023	 S	 G2	2	3	Provided	0	0.103275072	0.040690544	0	1	0	3.6	1.4	0
RPL14	RPL3	P50914	P39023			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
DDX3X	RPL3	O00571	P39023			Inf	Inf	STRING	0.169	0.169	0.169	0.169					
RPS28	RPL3	P62857	P39023			Inf	Inf	STRING	0.947	0.947	0.947	0.947					
RPL9	RPL3	P32969	P39023			Inf	Inf	STRING	0.987	0.987	0.987	0.987					
RPL31	RPL3	P62899	P39023			Inf	Inf	STRING	0.952	0.952	0.952	0.952					
RPL27	RPL3	P61353	P39023			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPL27A	RPL3	P46776	P39023			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
RPL22	RPL3	P35268	P39023			Inf	Inf	STRING	0.989	0.989	0.989	0.989					
EIF4B	RPL3	P23588	P39023			Inf	Inf	STRING	0.191	0.191	0.191	0.191					
RPL9	RPL13A	P32969	P40429			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPLP0	RPL13A	P05388	P40429			Inf	Inf	STRING	0.988	0.988	0.988	0.988					
RPS19	RPL13A	P39019	P40429			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPS5	RPL13A	P46782	P40429			Inf	Inf	STRING	0.985	0.985	0.985	0.985					
RPS8	RPL13A	P62241	P40429			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL18	RPL13A	Q07020	P40429			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
CCNB1	RPL13A	P14635	P40429	 M		4	5	Provided	0	0	0.02557851	0.057767908	1	0	0	0.9	2
RPS20	RPL13A	B4DW28	P40429			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
EIF4B	RPL13A	P23588	P40429			Inf	Inf	STRING	0.261	0.261	0.261	0.261					
RPS28	RPL13A	P62857	P40429			Inf	Inf	STRING	0.958	0.958	0.958	0.958					
RPL23A	RPL13A	A8MUS3	P40429			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL35A	RPL13A	P18077	P40429			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
CCNA2	RPL13A	P20248	P40429	 S	 M	2	4	Provided	0	0.132169054	0.066851003	0	1	0	4.6	2.3	0
RPL27	RPL13A	P61353	P40429			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPL31	RPL13A	P62899	P40429			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPL14	RPL13A	P50914	P40429			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
DDB1	MSH2	Q16531	P43246			Inf	Inf	STRING	0.269	0.269	0.269	0.269					
CCNB1	MSH2	P14635	P43246	 G2	 M	3	4	Provided	0	0	0.057515759	0.033297994	2	0	0	2	1.2
CDK2	MSH2	P24941	P43246			Inf	Inf	STRING	0.088	0.088	0.088	0.088					
XRCC6	MSH2	P12956	P43246			Inf	Inf	STRING	0.294	0.294	0.294	0.294					
RPLP0	MSH2	P05388	P43246			Inf	Inf	STRING	0.388	0.388	0.388	0.388					
CDC20	MSH2	Q12834	P43246			Inf	Inf	STRING	0.929	0.929	0.929	0.929					
RPS5	MSH2	P46782	P43246			Inf	Inf	STRING	0.363	0.363	0.363	0.363					
HDAC1	MSH2	Q13547	P43246			Inf	Inf	STRING	0.191	0.191	0.191	0.191					
RPA1	MSH2	P27694	P43246			Inf	Inf	STRING	0.596	0.596	0.596	0.596					
XRCC5	MSH2	P13010	P43246			Inf	Inf	STRING	0.14	0.14	0.14	0.14					
ANAPC7	MSH2	Q9UJX3	P43246			Inf	Inf	STRING	0.929	0.929	0.929	0.929					
HDAC1	MAGEA1	Q13547	P43355			Inf	Inf	STRING	0.379	0.379	0.379	0.379					
